Field,Value
Latitude,42.6608774
Longitude,21.1622878
Display Address,"2 Korriku, Qendra, Prishtinë, Komuna e Prishtinës / Opština Priština, Rajoni i Prishtinës / Prištinski okrug, 10000, Kosova / Kosovo
📍 Prishtinë → Kosova / Kosovo"
Country,Kosova / Kosovo
Region,
City,Prishtinë
Postal Code,10000
Timezone,
ISP,
AS,
Bounding Box,"42.6606439, 42.6611094, 21.1618908, 21.1626839"
Altitude,596.0 m
